This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average_CHIRPS_Rainfall(mm/day)
1/1/2011, 0
1/2/2011, 0
1/3/2011, 0
1/4/2011, 0
1/5/2011, 0
1/6/2011, 0
1/7/2011, 0
1/8/2011, 0
1/9/2011, 0.101965007075557
1/10/2011, 0.01121270391676161
1/11/2011, 0
1/12/2011, 0
1/13/2011, 0
1/14/2011, 0
1/15/2011, 0
1/16/2011, 0
1/17/2011, 0
1/18/2011, 0
1/19/2011, 0
1/20/2011, 0
1/21/2011, 0
1/22/2011, 0
1/23/2011, 0
1/24/2011, 0
1/25/2011, 0
1/26/2011, 0
1/27/2011, 0
1/28/2011, 0
1/29/2011, 0
1/30/2011, 0
1/31/2011, 0
2/1/2011, 0
2/2/2011, 0.008312302165561253
2/3/2011, 0
2/4/2011, 0
2/5/2011, 0
2/6/2011, 0
2/7/2011, 0
2/8/2011, 0
2/9/2011, 0
2/10/2011, 0
2/11/2011, 0
2/12/2011, 0
2/13/2011, 0
2/14/2011, 0
2/15/2011, 0
2/16/2011, 0
2/17/2011, 0
2/18/2011, 0
2/19/2011, 0
2/20/2011, 0
2/21/2011, 0
2/22/2011, 0.7996118051034433
2/23/2011, 0.8148417154947917
2/24/2011, 0.362694012677228
2/25/2011, 0.8954386958369502
2/26/2011, 0.6147443418149595
2/27/2011, 0
2/28/2011, 0
3/1/2011, 0
3/2/2011, 0
3/3/2011, 0
3/4/2011, 0
3/5/2011, 0
3/6/2011, 0
3/7/2011, 0
3/8/2011, 0
3/9/2011, 0
3/10/2011, 0
3/11/2011, 0
3/12/2011, 0
3/13/2011, 0
3/14/2011, 0
3/15/2011, 0
3/16/2011, 0
3/17/2011, 0
3/18/2011, 0
3/19/2011, 0
3/20/2011, 0
3/21/2011, 0
3/22/2011, 0.8671427408854167
3/23/2011, 0.16083453143084492
3/24/2011, 5.912990993923611
3/25/2011, 2.796721507884838
3/26/2011, 2.3502384892216437
3/27/2011, 1.959663447627315
3/28/2011, 0.22474263509114584
3/29/2011, 0
3/30/2011, 0
3/31/2011, 0.11435446562590422
4/1/2011, 0.4720160025137442
4/2/2011, 4.585494429976852
4/3/2011, 2.130574092158565
4/4/2011, 0
4/5/2011, 0
4/6/2011, 0
4/7/2011, 0
4/8/2011, 0
4/9/2011, 1.0485435203269675
4/10/2011, 2.136563675491898
4/11/2011, 0.644747981318721
4/12/2011, 0.43597929212782116
4/13/2011, 4.392941623263889
4/14/2011, 10.369527633101852
4/15/2011, 7.572683376736111
4/16/2011, 1.763660685221354
4/17/2011, 9.645139793113426
4/18/2011, 15.582888454861111
4/19/2011, 7.35059814453125
4/20/2011, 12.032639793113425
4/21/2011, 27.20531322337963
4/22/2011, 19.136512586805555
4/23/2011, 23.743055555555557
4/24/2011, 1.2607175473813657
4/25/2011, 9.428023726851851
4/26/2011, 4.662132884837963
4/27/2011, 0.260143393057364
4/28/2011, 1.7594849763093172
4/29/2011, 1.5739932590060763
4/30/2011, 13.091100622106481
5/1/2011, 9.141710069444445
5/2/2011, 0.9806803385416667
5/3/2011, 23.62398726851852
5/4/2011, 1.1167787905092592
5/5/2011, 4.354806857638889
5/6/2011, 0
5/7/2011, 0
5/8/2011, 0
5/9/2011, 0
5/10/2011, 0
5/11/2011, 0.13515071162471065
5/12/2011, 0.3433596858271846
5/13/2011, 1.8475827817563657
5/14/2011, 5.09518455222801
5/15/2011, 3.0035809552228008
5/16/2011, 0
5/17/2011, 3.8256320529513888
5/18/2011, 6.579545536747685
5/19/2011, 15.068818721064815
5/20/2011, 8.295287181712963
5/21/2011, 0
5/22/2011, 0
5/23/2011, 4.877062536168982
5/24/2011, 5.681378851996528
5/25/2011, 10.075494610821758
5/26/2011, 0.025082282666806822
5/27/2011, 12.173250325520833
5/28/2011, 7.2034111870659725
5/29/2011, 2.889873589409722
5/30/2011, 16.086328125
5/31/2011, 2.220186812789352
6/1/2011, 45.89732349537037
6/2/2011, 59.346180555555556
6/3/2011, 20.35271990740741
6/4/2011, 15.555074508101852
6/5/2011, 1.3297760009765625
6/6/2011, 8.020478877314815
6/7/2011, 0
6/8/2011, 2.7973420319733795
6/9/2011, 0
6/10/2011, 0
6/11/2011, 0.2902207833749277
6/12/2011, 0.7112800315574364
6/13/2011, 15.509975405092593
6/14/2011, 10.671652560763889
6/15/2011, 10.938514539930555
6/16/2011, 5.294089084201389
6/17/2011, 7.907840530960648
6/18/2011, 33.95438368055556
6/19/2011, 0
6/20/2011, 0
6/21/2011, 0
6/22/2011, 0
6/23/2011, 0
6/24/2011, 0
6/25/2011, 55.422616464120374
6/26/2011, 0.39936709933810766
6/27/2011, 0
6/28/2011, 0
6/29/2011, 0
6/30/2011, 2.988448079427083
7/1/2011, 15.878700086805555
7/2/2011, 16.250654658564816
7/3/2011, 6.507512297453704
7/4/2011, 8.801350911458334
7/5/2011, 4.717272497106482
7/6/2011, 3.995947265625
7/7/2011, 8.133025896990741
7/8/2011, 0
7/9/2011, 7.525792100694445
7/10/2011, 0
7/11/2011, 2.396460186993634
7/12/2011, 6.979403573495371
7/13/2011, 26.678251591435185
7/14/2011, 8.055586299189814
7/15/2011, 0
7/16/2011, 11.669948097511574
7/17/2011, 2.1341697410300924
7/18/2011, 0
7/19/2011, 1.0420509620949074
7/20/2011, 30.50648871527778
7/21/2011, 2.8558204933449076
7/22/2011, 5.77987693504051
7/23/2011, 3.862494122540509
7/24/2011, 7.499750886140046
7/25/2011, 22.828645833333333
7/26/2011, 25.814948640046296
7/27/2011, 2.2221279568142362
7/28/2011, 1.5279796459056714
7/29/2011, 1.3271091037326388
7/30/2011, 9.030789749710648
7/31/2011, 2.0277605975115742
8/1/2011, 1.845504308629919
8/2/2011, 24.947688802083334
8/3/2011, 27.25964265046296
8/4/2011, 0.0429186397128635
8/5/2011, 0.9261464436848958
8/6/2011, 0.41942011515299477
8/7/2011, 0
8/8/2011, 5.365900788483796
8/9/2011, 9.124078595196758
8/10/2011, 29.23041087962963
8/11/2011, 20.763465711805555
8/12/2011, 0
8/13/2011, 2.701540798611111
8/14/2011, 11.964653862847221
8/15/2011, 12.798744936342592
8/16/2011, 22.35650318287037
8/17/2011, 26.75406539351852
8/18/2011, 12.957155128761574
8/19/2011, 10.022007921006944
