This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average_CHIRPS_Rainfall(mm/day)
1/1/2011, 0
1/2/2011, 0
1/3/2011, 0
1/4/2011, 0
1/5/2011, 0
1/6/2011, 0
1/7/2011, 0
1/8/2011, 0
1/9/2011, 0
1/10/2011, 0
1/11/2011, 0
1/12/2011, 0
1/13/2011, 0
1/14/2011, 0
1/15/2011, 0
1/16/2011, 0
1/17/2011, 0
1/18/2011, 0
1/19/2011, 0
1/20/2011, 0
1/21/2011, 0
1/22/2011, 0
1/23/2011, 0
1/24/2011, 0
1/25/2011, 0
1/26/2011, 0
1/27/2011, 0
1/28/2011, 0
1/29/2011, 0
1/30/2011, 0
1/31/2011, 0
2/1/2011, 0
2/2/2011, 0
2/3/2011, 0
2/4/2011, 0
2/5/2011, 0
2/6/2011, 0
2/7/2011, 0
2/8/2011, 0
2/9/2011, 0
2/10/2011, 0
2/11/2011, 0
2/12/2011, 0
2/13/2011, 0
2/14/2011, 0
2/15/2011, 0
2/16/2011, 0
2/17/2011, 0
2/18/2011, 0
2/19/2011, 0
2/20/2011, 0
2/21/2011, 0
2/22/2011, 0
2/23/2011, 0
2/24/2011, 0
2/25/2011, 0.18141752795169228
2/26/2011, 0
2/27/2011, 0
2/28/2011, 0
3/1/2011, 0
3/2/2011, 0
3/3/2011, 0
3/4/2011, 0
3/5/2011, 0
3/6/2011, 0
3/7/2011, 0
3/8/2011, 0
3/9/2011, 0
3/10/2011, 0
3/11/2011, 0
3/12/2011, 0
3/13/2011, 0
3/14/2011, 0
3/15/2011, 0
3/16/2011, 0
3/17/2011, 0
3/18/2011, 0
3/19/2011, 0
3/20/2011, 0
3/21/2011, 0
3/22/2011, 0
3/23/2011, 0
3/24/2011, 0
3/25/2011, 0
3/26/2011, 0
3/27/2011, 0
3/28/2011, 0
3/29/2011, 0
3/30/2011, 0
3/31/2011, 0
4/1/2011, 0
4/2/2011, 1.2712150372956927
4/3/2011, 0
4/4/2011, 0
4/5/2011, 0
4/6/2011, 0
4/7/2011, 0
4/8/2011, 0
4/9/2011, 0.05638355957834344
4/10/2011, 0
4/11/2011, 0
4/12/2011, 0
4/13/2011, 0
4/14/2011, 10.876457615902549
4/15/2011, 8.00603605571546
4/16/2011, 0
4/17/2011, 0
4/18/2011, 0
4/19/2011, 27.120065789473685
4/20/2011, 0
4/21/2011, 36.20809454666941
4/22/2011, 27.176985891241777
4/23/2011, 25.748281378495065
4/24/2011, 1.17399777864155
4/25/2011, 0.2025298570331774
4/26/2011, 0
4/27/2011, 0
4/28/2011, 6.050659982781661
4/29/2011, 8.985253585012336
4/30/2011, 14.4271095677426
5/1/2011, 2.5790539791709497
5/2/2011, 5.698183963173314
5/3/2011, 10.731230083264803
5/4/2011, 5.3656150416324015
5/5/2011, 0
5/6/2011, 0
5/7/2011, 0
5/8/2011, 0
5/9/2011, 0
5/10/2011, 0
5/11/2011, 0
5/12/2011, 1.0598430633544922
5/13/2011, 9.560541253340872
5/14/2011, 2.51249172813014
5/15/2011, 0
5/16/2011, 2.8879982797723067
5/17/2011, 0.1606115792926989
5/18/2011, 0.7510147094726562
5/19/2011, 19.761781391344574
5/20/2011, 5.370786968030427
5/21/2011, 0
5/22/2011, 0
5/23/2011, 0
5/24/2011, 9.717140599300986
5/25/2011, 14.811378880550986
5/26/2011, 0
5/27/2011, 7.557289525082237
5/28/2011, 0
5/29/2011, 0
5/30/2011, 28.07179661800987
5/31/2011, 19.86236572265625
6/1/2011, 17.877253482216283
6/2/2011, 0
6/3/2011, 0
6/4/2011, 0
6/5/2011, 1.5836124420166016
6/6/2011, 9.253050954718338
6/7/2011, 0
6/8/2011, 3.470243353592722
6/9/2011, 0
6/10/2011, 0.735110835025185
6/11/2011, 0
6/12/2011, 0
6/13/2011, 0
6/14/2011, 0.6012468839946546
6/15/2011, 0.4121691553216231
6/16/2011, 0.42896702415064764
6/17/2011, 0
6/18/2011, 0
6/19/2011, 0
6/20/2011, 0
6/21/2011, 0
6/22/2011, 0
6/23/2011, 0
6/24/2011, 0
6/25/2011, 12.316762020713405
6/26/2011, 0.9937829469379625
6/27/2011, 0
6/28/2011, 0
6/29/2011, 0
6/30/2011, 10.082785355417352
7/1/2011, 18.345422042043584
7/2/2011, 14.476523951480264
7/3/2011, 1.180497219688014
7/4/2011, 10.140690050627056
7/5/2011, 4.161073383532073
7/6/2011, 4.000235708136308
7/7/2011, 0
7/8/2011, 0
7/9/2011, 0
7/10/2011, 0
7/11/2011, 5.3538818359375
7/12/2011, 0.4367599989238538
7/13/2011, 3.8436443931178044
7/14/2011, 1.0549027292351973
7/15/2011, 0
7/16/2011, 12.54715929533306
7/17/2011, 0.2560108084427683
7/18/2011, 0
7/19/2011, 0.08711245185450504
7/20/2011, 5.09678810521176
7/21/2011, 9.486607601768092
7/22/2011, 2.1189992804276314
7/23/2011, 0
7/24/2011, 4.2086852224249585
7/25/2011, 6.575298911646793
7/26/2011, 11.723081889905428
7/27/2011, 3.749854238409745
7/28/2011, 0.7092716819361636
7/29/2011, 0.18650175395764804
7/30/2011, 0.7955116472746196
7/31/2011, 0
8/1/2011, 0
8/2/2011, 0.1801392153689736
8/3/2011, 5.443691052888569
8/4/2011, 0
8/5/2011, 12.145052458110609
8/6/2011, 6.16133599532278
8/7/2011, 1.9377551831697162
8/8/2011, 8.567785162674753
8/9/2011, 1.5343102906879627
8/10/2011, 16.418514854029606
8/11/2011, 12.843562879060444
8/12/2011, 1.2171131937127364
8/13/2011, 0
8/14/2011, 0
8/15/2011, 11.99721968801398
8/16/2011, 4.5636436060855265
8/17/2011, 12.005412854646382
8/18/2011, 21.108393618935033
8/19/2011, 9.013540167557565
8/20/2011, 8.18865324321546
8/21/2011, 13.150403474506579
8/22/2011, 4.005352221037212
8/23/2011, 12.754886827970806
8/24/2011, 21.41452990080181
8/25/2011, 9.754881206311678
8/26/2011, 2.851119593570107
8/27/2011, 9.46195502030222
8/28/2011, 0
8/29/2011, 0
8/30/2011, 1.8135956212093955
8/31/2011, 0
9/1/2011, 9.713729055304276
9/2/2011, 0
9/3/2011, 0
9/4/2011, 6.012195386384663
9/5/2011, 0
9/6/2011, 0.16848325729370117
9/7/2011, 0
9/8/2011, 5.699889735171669
